Log_ID,Date,Equipment_ID,Equipment_Type,Purchase_Date,Owner_Farm_ID,Operator_ID,Operator_Name,Experience_Years,Field_ID,Field_Name,Area_Acres,Hours_Used,Fuel_Liters,Maintenance_Type,Maintenance_Cost,Part_Replaced,Breakdown_Probability,Risk_Category
LOG-06468,,EQ-065,Harvester,2021-08-07,FARM-04,OP-031,Alice Anderson,12.0,FLD-003,,66.67,2.2,16.0,None,0.0,None,0.43,Medium
LOG-00038,2023/04/08,EQ-054,Tractor,2017-09-13,FARM-10,OP-039,Michael Williams,4.0,FLD-020,West Field,220.65,9.5,46.6,None,0.0,None,0.3,Medium
LOG-03397,2023-02-06,EQ-072,Planter,2017-02-18,FARM-02,OP-004,David Hernandez,10.0,FLD-013,Valley Field,169.83,4.6,21.9,Routine,1267.85,None,0.03,Low
LOG-03810,2024-03-05,EQ-088,,2018-03-14,FARM-07,OP-030,,12.0,FLD-015,West Field,216.02,2.0,15.2,None,0.0,None,0.2,Low
LOG-04709,2024-05-30,EQ-039,Tractor,2016-09-18,FARM-03,OP-016,David Jones,4.0,FLD-014,River Field,281.66,1.6,6.2,Routine,927.09,None,0.21,Low
LOG-03367,2023-10-18,EQ-025,Harvester,2016-10-31,FARM-08,OP-030,Alice Jones,12.0,FLD-002,Hill Field,223.83,4.4,27.2,None,0.0,None,0.33,Medium
LOG-04673,2024/03/01,EQ-090,,2017-06-10,,OP-041,Chloe Brown,7.0,FLD-002,Hill Field,223.83,4.7,24.1,None,,None,0.27,Low
LOG-00586,2024-09-15,EQ-094,Harvester,2015-08-21,FARM-09,OP-005,Daniel Garcia,3.0,FLD-011,South Field,362.68,2.9,20.7,None,0.0,None,0.57,Medium
LOG-01439,2022-03-01,EQ-014,Sprayer,2015-06-27,FARM-08,OP-003,Sarah Jones,13.0,FLD-012,River Field,,7.7,50.6,None,0.0,None,0.18,Low
LOG-01023,2024/03/20,EQ-080,Harvester,2018-02-14,FARM-08,OP-014,John Hernandez,,FLD-018,River Field,208.98,11.3,,None,0.0,None,0.36,Medium
LOG-00545,2024-06-30,EQ-070,Harvester,2021-01-17,,OP-018,,10.0,FLD-018,River Field,208.98,2.5,19.4,None,0.0,None,0.59,Medium
LOG-03881,2023-01-11,EQ-056,Tractor,2023-07-13,,OP-006,John Davis,20.0,FLD-015,West Field,216.02,-6.5,36.9,None,0.0,None,0.35,Medium
LOG-01075,2024-07-22,EQ-038,Planter,2016-01-08,FARM-01,OP-015,Laura Anderson,4.0,FLD-016,Valley Field,341.89,2.6,11.5,None,0.0,None,0.84,High
LOG-03967,2023-01-30,EQ-026,Planter,2018-01-10,FARM-09,OP-026,Grace Rodriguez,1.0,FLD-019,North Field,158.9,2.6,10.9,Routine,424.24,None,0.24,Low
LOG-02550,2022-04-18,EQ-056,Tractor,2023-07-13,,OP-017,Emily Lopez,18.0,FLD-011,South Field,362.68,7.7,45.2,None,0.0,None,0.69,Medium
LOG-04928,2024-02-04,EQ-002,Harvester,2017-07-03,FARM-03,OP-024,William Gonzalez,5.0,FLD-006,North Field,,1.4,,None,0.0,None,0.79,High
LOG-00753,2022-10-31,EQ-022,Harvester,,FARM-06,OP-018,David Jones,10.0,FLD-004,Sunny Field,103.14,6.5,47.9,None,0.0,None,0.62,Medium
LOG-04813,2024-12-25,EQ-039,Tractor,2016-09-18,FARM-03,OP-044,James Miller,11.0,FLD-017,East Field,311.6,2.6,18.9,Repair,657.93,Blade,0.94,High
LOG-04304,2022-02-27,EQ-049,Harvester,2016-09-18,FARM-06,OP-019,James Lopez,11.0,FLD-016,Valley Field,341.89,6.7,44.0,None,0.0,None,0.3,Medium
LOG-04939,2022-05-29,EQ-022,Harvester,2019-02-25,FARM-06,OP-038,Grace Gonzalez,8.0,FLD-015,West Field,216.02,7.8,44.3,Routine,1268.1,None,0.6,Medium
LOG-03434,2022-12-10,EQ-100,Planter,2022-05-16,,OP-035,Sarah Wilson,6.0,FLD-012,River Field,258.49,8.6,46.8,,0.0,None,0.35,Medium
LOG-01607,2022/03/23,EQ-078,Harvester,2017-02-23,FARM-04,OP-027,Emily Johnson,5.0,FLD-013,Valley Field,169.83,4.8,33.3,None,0.0,None,0.57,Medium
LOG-03916,2023-03-01,EQ-064,Tractor,2018-10-16,FARM-01,OP-048,William Smith,4.0,FLD-008,West Field,188.47,3.1,12.1,None,0.0,None,,High
LOG-02620,2024-06-16,EQ-004,Tractor,2021-08-15,FARM-07,OP-033,Emily Garcia,18.0,FLD-008,West Field,188.47,10.0,57.9,Routine,868.6,None,0.57,
LOG-06650,2022-04-04,EQ-078,Harvester,2017-02-23,FARM-04,OP-040,Charles Wilson,2.0,FLD-012,River Field,258.49,2.9,12.0,None,0.0,,0.77,High
LOG-02118,2024-10-16,EQ-077,Sprayer,2023-12-24,FARM-02,OP-030,Alice Jones,12.0,FLD-017,,311.6,8.9,36.2,None,0.0,None,0.81,High
LOG-02441,2023-07-29,EQ-007,Tractor,2021-04-17,FARM-04,OP-011,Sophia Jones,6.0,FLD-006,North Field,264.76,5.6,26.3,None,0.0,None,0.34,Medium
LOG-04344,2022-03-18,EQ-012,,2016-01-15,FARM-07,OP-021,Chloe Jones,2.0,FLD-016,Valley Field,341.89,10.4,46.8,None,0.0,None,0.06,Low
LOG-01935,2023-07-19,EQ-029,Sprayer,2019-07-02,FARM-05,OP-029,David Miller,5.0,FLD-007,Golden Field,346.56,10.2,79.7,None,0.0,None,0.48,Medium
LOG-02200,,EQ-011,Harvester,2017-05-31,FARM-06,OP-029,David Miller,5.0,FLD-009,South Field,474.95,6.7,53.4,None,0.0,None,0.83,High
LOG-00051,2023-02-21,EQ-081,Harvester,2015-11-05,FARM-08,OP-029,David Miller,5.0,FLD-002,Hill Field,223.83,3.9,14.3,None,0.0,None,0.87,High
LOG-03640,2023-01-11,EQ-041,Planter,2019-04-13,FARM-10,OP-014,John Hernandez,18.0,FLD-019,North Field,158.9,9.7,62.5,Inspection,729.77,None,0.69,Medium
LOG-04767,2023-11-03,,Harvester,2019-02-25,,OP-001,William Anderson,9.0,FLD-003,Golden Field,66.67,2.3,13.7,None,0.0,None,0.42,Medium
LOG-02193,2022-08-10,EQ-027,Harvester,2022-09-05,FARM-06,OP-046,Michael Garcia,17.0,FLD-014,River Field,281.66,3.6,19.4,None,0.0,None,0.01,Low
LOG-02861,2024-05-08,EQ-045,Tractor,2018-04-17,FARM-07,OP-004,David Hernandez,10.0,FLD-008,West Field,188.47,1.9,11.2,,0.0,None,0.96,High
LOG-03083,2022-03-23,EQ-005,Tractor,2015-05-03,FARM-02,OP-048,William Smith,4.0,FLD-003,Golden Field,66.67,3.7,13.8,None,0.0,None,0.76,High
LOG-05434,2023-08-28,EQ-037,Sprayer,2017-06-17,FARM-03,OP-046,Michael Garcia,17.0,FLD-002,Hill Field,223.83,12.0,89.9,None,0.0,None,0.14,Low
LOG-00430,2023-10-10,EQ-012,Tractor,2016-01-15,FARM-07,OP-032,James Hernandez,8.0,FLD-015,West Field,216.02,2.3,12.6,None,0.0,None,0.11,Low
LOG-01132,2022-07-31,EQ-055,Tractor,2015-12-17,FARM-08,OP-013,Laura Martinez,17.0,,,341.89,8.7,48.0,Inspection,1489.2,None,0.59,Medium
LOG-04155,"April 19, 2024",EQ-026,Planter,2018-01-10,FARM-09,OP-007,Emily Johnson,18.0,FLD-007,Golden Field,346.56,3.1,20.0,None,0.0,,0.5,Medium
LOG-03890,2024-05-07,EQ-008,Planter,2017-06-21,FARM-08,OP-030,Alice Jones,12.0,FLD-001,Sunny Field,222.94,4.7,20.0,Routine,508.31,None,0.24,Low
LOG-01413,2023-04-22,EQ-079,Planter,2016-07-28,FARM-07,OP-031,Alice Anderson,12.0,FLD-017,East Field,311.6,1.6,8.7,None,0.0,None,,High
LOG-01733,2024-02-10,EQ-065,Harvester,,FARM-04,OP-019,James Lopez,11.0,FLD-008,West Field,188.47,5.7,40.4,Routine,428.43,None,0.15,Low
LOG-02250,2022-10-11,EQ-097,,2016-05-06,FARM-10,OP-050,Michael Smith,4.0,FLD-018,River Field,208.98,3.1,14.1,None,0.0,None,0.59,Medium
LOG-06649,28-03-2024,EQ-086,Tractor,2016-11-05,FARM-07,OP-022,Robert Hernandez,14.0,FLD-008,West Field,188.47,3.4,26.0,None,0.0,None,0.43,Medium
LOG-02782,2022-03-26,EQ-039,Tractor,2016-09-18,FARM-03,OP-045,Michael Wilson,3.0,FLD-006,North Field,264.76,10.7,47.5,None,0.0,None,0.31,Medium
LOG-04355,2022-05-18,EQ-018,Tractor,,,OP-034,Grace Martinez,5.0,FLD-011,South Field,362.68,4.6,23.7,None,0.0,None,0.32,Medium
LOG-03947,2024-06-24,EQ-090,Sprayer,2017-06-10,FARM-01,OP-014,John Hernandez,18.0,FLD-004,Sunny Field,103.14,11.6,48.3,None,0.0,None,0.86,High
LOG-04519,2024-01-11,EQ-022,Harvester,2019-02-25,FARM-06,OP-032,James Hernandez,8.0,FLD-017,East Field,311.6,10.7,65.7,None,0.0,None,0.72,High
LOG-03797,2022-08-04,EQ-077,Sprayer,2023-12-24,FARM-02,OP-009,David Anderson,12.0,FLD-015,West Field,216.02,8.0,61.2,None,0.0,None,0.93,High
LOG-04247,2022-06-30,EQ-070,Harvester,2021-01-17,FARM-03,OP-023,Michael Smith,1.0,FLD-001,Sunny Field,222.94,1.4,6.8,None,0.0,None,0.2,Low
LOG-04109,,EQ-044,Sprayer,2023-08-15,FARM-06,OP-048,William Smith,4.0,FLD-013,Valley Field,169.83,1.0,4.6,None,0.0,None,0.83,High
LOG-05649,18-03-2022,EQ-057,Harvester,2016-06-09,FARM-08,OP-007,Emily Johnson,18.0,FLD-006,North Field,264.76,11.9,47.7,None,0.0,None,0.29,Low
LOG-02274,2024-07-15,EQ-021,Planter,2022-02-16,FARM-06,OP-045,Michael Wilson,3.0,FLD-009,South Field,474.95,3.6,13.3,None,0.0,None,0.39,Medium
LOG-03393,2024-08-23,EQ-072,Planter,2017-02-18,FARM-02,OP-028,Alice Wilson,12.0,,Golden Field,66.67,10.1,57.4,Inspection,530.14,None,0.45,Medium
LOG-05774,2022-07-24,EQ-062,Planter,2020-10-20,FARM-08,OP-009,David Anderson,12.0,FLD-003,Golden Field,66.67,2.5,8.8,None,0.0,None,0.11,Low
LOG-02307,2024-03-03,EQ-008,Planter,2017-06-21,FARM-08,OP-005,Daniel Garcia,,FLD-018,River Field,208.98,8.9,47.9,Routine,1058.41,None,0.25,Low
LOG-04560,2022-05-13,EQ-033,Harvester,2017-12-20,FARM-03,OP-029,David Miller,5.0,FLD-013,Valley Field,169.83,5.8,30.3,None,0.0,None,0.23,Low
LOG-03625,2023-08-13,EQ-062,Planter,2020-10-20,FARM-08,OP-027,Emily Johnson,5.0,FLD-005,North Field,357.3,10.7,53.8,None,0.0,None,0.96,High
LOG-05815,2022-11-24,EQ-097,Planter,2016-05-06,FARM-10,OP-035,Sarah Wilson,6.0,FLD-020,West Field,220.65,2.8,17.3,None,0.0,None,0.27,Low
LOG-01741,2022-06-16,EQ-047,Sprayer,2020-08-12,FARM-03,OP-023,Michael Smith,1.0,FLD-011,South Field,362.68,5.5,37.1,None,0.0,None,0.54,Medium
LOG-05611,2024-02-03,EQ-032,Planter,2022-03-18,FARM-08,OP-008,James Rodriguez,9.0,FLD-011,,362.68,5.5,28.2,None,0.0,None,0.91,High
LOG-02119,2024-11-28,EQ-018,Tractor,2015-07-07,FARM-04,OP-038,Grace Gonzalez,8.0,FLD-018,River Field,208.98,3.7,13.9,None,0.0,None,0.75,High
LOG-06045,2024-10-25,EQ-051,Tractor,2021-09-19,FARM-06,,Daniel Wilson,18.0,FLD-003,Golden Field,66.67,2.5,11.4,None,0.0,None,0.63,Medium
LOG-02685,2024-07-22,EQ-049,Harvester,2016-09-18,FARM-06,OP-036,Jessica Anderson,14.0,FLD-012,River Field,258.49,3.9,24.7,Routine,1211.23,None,0.68,Medium
LOG-05621,2022/10/20,EQ-056,Tractor,2023-07-13,,OP-048,William Smith,4.0,FLD-018,River Field,208.98,5.6,18.6,None,0.0,None,0.29,Low
LOG-04368,2022-10-30,EQ-002,Harvester,2017-07-03,FARM-03,OP-047,Charles Hernandez,,FLD-005,,357.3,,79.0,None,0.0,None,0.4,Medium
LOG-01551,2024-02-04,EQ-068,Sprayer,2015-10-18,FARM-09,OP-004,David Hernandez,10.0,FLD-017,East Field,311.6,1.2,6.2,Routine,781.11,None,0.79,High
LOG-00231,2024-01-07,EQ-046,Harvstr,2020-02-02,FARM-01,OP-020,James Hernandez,9.0,FLD-009,South Field,474.95,6.6,36.2,Routine,1472.91,None,0.47,Medium
LOG-00535,2024-04-23,EQ-033,,2017-12-20,FARM-03,OP-023,Michael Smith,1.0,FLD-001,Sunny Field,222.94,2.3,16.9,None,0.0,None,0.2,Low
LOG-00240,2024-05-31,EQ-037,Sprayer,2017-06-17,FARM-03,OP-002,James Hernandez,11.0,FLD-017,East Field,311.6,9.9,74.7,Repair,189.66,Belt,0.25,Low
LOG-06098,2023/01/29,EQ-099,Tractor,2021-12-11,FARM-02,OP-048,William Smith,4.0,FLD-005,North Field,357.3,8.3,45.9,Repair,1318.3,None,0.29,Low
LOG-05442,2023-04-02,EQ-015,Tractor,2019-03-31,FARM-02,,Daniel Garcia,10.0,FLD-005,North Field,357.3,4.2,31.9,None,0.0,None,0.71,High
LOG-05941,2023-06-27,EQ-054,Tractor,2017-09-13,FARM-10,OP-019,James Lopez,11.0,FLD-002,Hill Field,223.83,1.9,6.4,None,0.0,None,0.67,Medium
LOG-03818,2024-04-21,EQ-020,Tractor,2019-04-06,FARM-05,OP-003,,13.0,FLD-002,Hill Field,223.83,2.2,9.4,Inspection,1462.84,None,0.27,Low
LOG-05921,2023-09-14,EQ-009,Sprayer,2015-01-27,FARM-03,OP-036,Jessica Anderson,14.0,FLD-014,River Field,281.66,6.5,29.2,None,0.0,None,0.29,Low
LOG-03134,"February 11, 2022",EQ-029,Sprayer,2019-07-02,FARM-05,OP-003,Sarah Jones,13.0,FLD-009,South Field,474.95,11.0,40.7,None,0.0,None,0.19,Low
LOG-01889,2023-07-15,EQ-019,Sprayer,2015-11-23,FARM-04,OP-022,Robert Hernandez,14.0,FLD-017,,,6.8,50.6,None,0.0,None,0.61,Medium
LOG-01329,2022-03-03,EQ-075,Planter,2023-03-06,FARM-01,OP-031,Alice Anderson,12.0,,,474.95,1.4,7.1,None,0.0,None,0.88,High
LOG-03384,2023-06-13,EQ-069,Harvester,2018-02-14,,OP-040,Charles Wilson,2.0,FLD-019,North Field,158.9,6.0,30.3,Repair,1065.41,Blade,0.64,Medium
LOG-01455,2024-01-05,EQ-005,Tractor,2015-05-03,FARM-02,OP-021,Chloe Jones,2.0,FLD-004,Sunny Field,103.14,10.6,32.2,None,0.0,None,0.34,Medium
LOG-05717,2023-07-31,EQ-007,Tractor,2021-04-17,FARM-04,OP-047,Charles Hernandez,18.0,FLD-014,River Field,281.66,1.7,6.9,None,0.0,None,0.07,Low
LOG-05777,,EQ-010,Planter,2018-10-25,FARM-05,OP-001,William Anderson,9.0,FLD-015,West Field,216.02,11.3,64.1,None,0.0,None,0.43,Medium
LOG-02139,2022-09-20,EQ-073,Tractor,2022-05-23,FARM-07,OP-039,Michael Williams,4.0,FLD-012,River Field,258.49,9.6,56.8,None,0.0,None,0.77,High
LOG-04443,2024-01-09,EQ-027,Harvstr,2022-09-05,FARM-06,OP-004,,10.0,FLD-002,Hill Field,223.83,10.6,41.2,None,0.0,None,0.31,Medium
LOG-02577,2024-04-19,EQ-099,Tractor,2021-12-11,FARM-02,OP-042,Daniel Garcia,10.0,FLD-013,,169.83,1.1,8.3,None,0.0,None,0.52,Medium
LOG-02273,2022-07-02,EQ-036,Planter,2021-07-18,FARM-07,OP-001,William Anderson,9.0,FLD-002,,223.83,6.3,39.4,None,0.0,None,0.52,Medium
LOG-02619,2022-05-01,EQ-028,Tractor,2017-07-27,FARM-01,OP-030,Alice Jones,12.0,FLD-013,Valley Field,169.83,11.0,60.5,None,0.0,None,0.46,Medium
LOG-06356,2024-09-20,EQ-040,Planter,2021-09-08,,OP-027,Emily Johnson,5.0,FLD-012,River Field,258.49,4.4,14.7,None,0.0,None,0.32,Medium
LOG-02624,2024-12-16,EQ-016,Sprayer,2022-01-18,FARM-10,OP-015,Laura Anderson,4.0,FLD-019,North Field,158.9,5.5,24.0,Inspection,,None,0.02,Low
LOG-00469,2023-09-03,EQ-070,Harvester,2021-01-17,FARM-03,OP-019,James Lopez,11.0,FLD-005,North Field,357.3,8.5,64.4,None,0.0,None,0.72,High
LOG-00080,2024-03-06,EQ-031,Sprayer,2017-05-20,FARM-08,OP-035,Sarah Wilson,6.0,FLD-005,North Field,357.3,6.0,38.1,None,0.0,None,0.94,High
LOG-06360,28-11-2023,EQ-078,Harvester,2017-02-23,FARM-04,OP-040,Charles Wilson,2.0,FLD-016,Valley Field,341.89,3.9,16.0,None,0.0,None,0.49,Medium
LOG-04954,2024-03-22,EQ-039,Tractor,2016-09-18,FARM-03,OP-016,David Jones,4.0,FLD-017,East Field,311.6,4.2,14.7,None,0.0,None,0.05,
LOG-03464,2024-05-21,EQ-094,Harvester,2015-08-21,FARM-09,OP-025,Michael Williams,15.0,,River Field,258.49,8.7,65.7,None,0.0,None,0.82,High
LOG-02064,2023-09-03,EQ-038,Planter,2016-01-08,FARM-01,OP-042,Daniel Garcia,10.0,FLD-005,North Field,357.3,10.7,50.2,None,0.0,None,0.51,Medium
LOG-04878,2022-07-22,EQ-072,Planter,2017-02-18,FARM-02,OP-004,David Hernandez,10.0,FLD-007,Golden Field,346.56,5.7,28.5,None,0.0,None,0.46,Medium
LOG-06370,2023-01-07,,Harvester,2017-02-23,,OP-040,,2.0,FLD-009,South Field,474.95,7.2,39.5,None,0.0,None,0.56,Medium
LOG-03934,2022-12-12,EQ-031,Sprayer,2017-05-20,FARM-08,OP-012,Daniel Wilson,18.0,FLD-003,Golden Field,66.67,9.1,40.2,None,0.0,None,0.02,Low
LOG-05508,2023-07-28,EQ-045,Tractor,2018-04-17,,OP-036,Jessica Anderson,14.0,FLD-005,North Field,,12.0,36.7,None,0.0,None,0.48,Medium
LOG-06464,2023-06-27,EQ-012,Tractor,2016-01-15,FARM-07,,David Hernandez,10.0,FLD-001,Sunny Field,222.94,4.2,12.9,Repair,757.78,Belt,0.75,High
